Ticker,Full_Ticker,Name,Sector,Industry_GICS,Index_Membership,Market_Cap,Net_Debt,Minority_Interest,EV,EBITDA,Net_Income,Equity,Avg_EBITDA_Margin_Forecast_10y,EBITDA_Forecast_CAGR_10y,Avg_Net_Income_Margin_Forecast_10y,Net_Income_Forecast_CAGR_10y,ROE,Beta_5y,Net_Debt_perc_EV,EV_TTM_EBITDA,Market_Cap_TTM_Net_Income,Market_Cap_BV_Equity
MEC,NYSE:MEC,"Mayville Engineering Company, Inc.",Industrials,Machinery,Russell 2000, 265 , 63 , -   , 328 , 25 ,-10 , 199 ,13%,5%,5%,NM,-5%, -   ,19%,13.2,  , 1.3 
PFBI,NASDAQGM:PFBI,"Premier Financial Bancorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 202 ,-41 , -   , 161 , -   , 22 , 256 ,5%,5%,30%,2%,9%, 0.83 ,-26%,, 9.0 , 0.8 
HBMD,NASDAQCM:HBMD,"Howard Bancorp, Inc.",Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000", 221 , 215 , -   , 436 , -   ,-16 , 290 ,5%,-2%,18%,NM,-5%, 0.81 ,49%,,  , 0.8 
AJX,NYSE:AJX,Great Ajax Corp.,Financials,Mortgage Real Estate Investment Trusts (REITs),"Russell 2000, Russell 3000", 237 ," 1,014 ", 27 ," 1,279 ", -   , 22 , 506 ,5%,28%,40%,1%,5%, 1.73 ,79%,, 10.6 , 0.5 
SWKH,NASDAQCM:SWKH,SWK Holdings Corporation,Financials,Diversified Financial Services,Russell 2000, 191 ,-12 , -   , 179 , -   , 9 , 236 ,14%,0%,73%,1%,4%, 0.16 ,-7%,, 20.4 , 0.8 
NKSH,NASDAQCM:NKSH,"National Bankshares, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 202 ,-77 , -   , 125 , -   , 16 , 202 ,2%,1%,31%,NM,8%, 0.50 ,-62%,, 12.7 , 1.0 
IMMR,NASDAQGS:IMMR,Immersion Corporation,Information Technology,"Technology Hardware, Storage & Peripherals","Russell 2000, Russell 3000", 242 ,-53 , -   , 190 , 0 ,-2 , 54 ,27%,NM,53%,NM,-2%, 1.92 ,-28%,2747.9,  , 4.5 
DAKT,NASDAQGS:DAKT,"Daktronics, Inc.",Information Technology,"Electronic Equipment, Instruments & Components","Russell 2000, Russell 3000, S&P Smallcap 600", 291 ,-64 , -   , 227 , 24 ,-3 , 190 ,5%,7%,2%,38%,-2%, 0.67 ,-28%,9.5,  , 1.5 
ADMA,NASDAQGM:ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,"Russell 2000, Russell 3000", 210 , 41 , -   , 250 ,-52 ,-67 , 71 ,16%,NM,43%,NM,-124%, 1.88 ,16%,,  , 2.9 
LQDA,NASDAQCM:LQDA,"Liquidia Technologies, Inc.",Healthcare,Pharmaceuticals,"Russell 2000, Russell 3000", 128 ,-61 , -   , 67 ,-54 ,-58 , 65 ,16%,NM,-200%,NM,-137%, 0.02 ,-90%,,  , 2.0 
TWI,NYSE:TWI,"Titan International, Inc.",Industrials,Machinery,S&P Smallcap 600, 287 , 388 , 24 , 699 , 24 ,-68 , 194 ,7%,20%,1%,NM,-33%, 2.51 ,55%,29.6,  , 1.5 
CCB,NASDAQGS:CCB,Coastal Financial Corporation,Financials,Banks,"Russell 2000, Russell 3000", 253 , 67 , -   , 320 , -   , 14 , 135 ,9%,21%,26%,6%,11%, 1.25 ,21%,, 18.0 , 1.9 
STRS,NASDAQGS:STRS,Stratus Properties Inc.,Real Estate,Real Estate Management & Development,"Russell 2000, Russell 3000", 183 , 368 , 11 , 563 ,-6 ,-10 , 121 ,18%,2%,-10%,NM,-9%, 0.66 ,65%,,  , 1.5 
GFN,NASDAQGM:GFN,General Finance Corporation,Industrials,Trading Companies & Distributors,"Russell 2000, Russell 3000", 257 , 439 , 1 , 697 , 91 , 6 , 180 ,25%,1%,4%,15%,2%, 1.21 ,63%,7.6, 42.2 , 1.4 
MBIO,NASDAQGM:MBIO,"Mustang Bio, Inc.",Healthcare,Biotechnology,"Russell 2000, Russell 3000", 219 ,-73 , -   , 146 ,-50 ,-56 , 76 ,NM,NM,NM,NM,-80%, 1.84 ,-50%,,  , 2.9 
AT,NYSE:AT,Atlantic Power Corporation,Utilities,Independent Power & Renewable Electricity Producers,"Russell 2000, Russell 3000", 176 , 554 , 169 , 899 , 96 ,-25 , 119 ,68%,5%,7%,NM,-262%, 0.35 ,62%,9.4,  , 1.5 
FLNT,NASDAQGM:FLNT,"Fluent, Inc.",Communication Services,Media,"Russell 2000, Russell 3000", 324 , 36 , -   , 361 , 32 , 3 , 216 ,14%,10%,7%,NM,1%, 3.08 ,10%,11.1, 108.7 , 1.5 
MBII,NASDAQCM:MBII,"Marrone Bio Innovations, Inc.",Materials,Chemicals,Russell 2000, 200 , 20 , -   , 220 ,-11 ,-26 , 23 ,1%,NM,-9%,NM,-110%, 0.30 ,9%,,  , 8.7 
EEX,NYSE:EEX,"Emerald Holding, Inc.",Communication Services,Media,"Russell 2000, Russell 3000", 361 , 214 , -   , 575 ,-21 ,-644 , 447 ,34%,-3%,12%,NM,-112%, 1.88 ,37%,,  , 0.8 
ATLO,NASDAQCM:ATLO,Ames National Corporation,Financials,Banks,"Russell 2000, Russell 3000", 228 ,-109 , -   , 119 , -   , 18 , 206 ,3%,2%,32%,NM,9%, 0.69 ,-92%,, 12.7 , 1.1 
ASPS,NASDAQGS:ASPS,Altisource Portfolio Solutions S.A.,Real Estate,Real Estate Management & Development,"Russell 2000, Russell 3000", 213 , 214 , 1 , 427 , 11 ,-366 ,-77 ,13%,-3%,2%,NM,-255%, 1.36 ,50%,38.2,  ,  
LOGC,NASDAQGM:LOGC,"LogicBio Therapeutics, Inc.",Healthcare,Biotechnology,Russell 2000, 260 ,-16 , -   , 244 ,-36 ,-37 , 22 ,9%,NM,-4537%,NM,-99%, 1.32 ,-7%,,  , 11.7 
ATLC,NASDAQGS:ATLC,Atlanticus Holdings Corporation,Financials,Consumer Finance,Russell 2000, 410 , 641 , 99 ," 1,149 ", -   , 70 , 195 ,12%,-6%,72%,NM,191%, 0.87 ,56%,, 5.9 , 2.1 
TISI,NYSE:TISI,"Team, Inc.",Industrials,Commercial Services & Supplies,"Russell 2000, Russell 3000, S&P Smallcap 600", 326 , 392 , -   , 718 , 32 ,-230 , 214 ,8%,8%,0%,NM,-70%, 2.12 ,55%,22.5,  , 1.5 
AQST,NASDAQGM:AQST,"Aquestive Therapeutics, Inc.",Healthcare,Pharmaceuticals,Russell 2000, 218 , 49 , -   , 267 ,-34 ,-48 ,-37 ,-5%,NM,-12%,NM,NM, 3.86 ,18%,,  ,  
FPRX,NASDAQGS:FPRX,"Five Prime Therapeutics, Inc.",Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000", 866 ,-65 , -   , 801 ,-84 ,-95 , 95 ,-249%,NM,-716%,NM,-69%, 4.41 ,-8%,,  , 9.1 
ATOM,NASDAQCM:ATOM,Atomera Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,Russell 2000, 312 ,-25 , -   , 288 ,-14 ,-14 , 25 ,-905%,NM,-959%,NM,-69%, 1.75 ,-9%,,  , 12.6 
MCF,AMEX:MCF,Contango Oil & Gas Company,Energy,"Oil, Gas & Consumable Fuels",Russell 2000, 408 , 72 , -   , 480 , 38 ,-278 ,-21 ,17%,1%,-31%,NM,-319%, 2.67 ,15%,12.5,  ,  
TMST,NYSE:TMST,TimkenSteel Corporation,Materials,Metals & Mining,"Russell 2000, Russell 3000, S&P Smallcap 600", 215 , 45 , -   , 260 ,-49 ,-134 , 514 ,7%,NM,2%,NM,-24%, 1.95 ,17%,,  , 0.4 
TIPT,NASDAQCM:TIPT,Tiptree Inc.,Financials,Insurance,"Russell 2000, Russell 3000", 169 , 384 , 14 , 567 ,-7 ,-39 , 362 ,11%,7%,3%,7%,-11%, 0.62 ,68%,,  , 0.5 
SMSI,NASDAQCM:SMSI,"Smith Micro Software, Inc.",Information Technology,Software,Russell 2000, 219 ,-19 , -   , 200 , 10 , 7 , 58 ,27%,11%,35%,16%,14%, 0.90 ,-10%,19.5, 30.2 , 3.8 
GPX,NYSE:GPX,GP Strategies Corporation,Industrials,Professional Services,"Russell 2000, Russell 3000", 184 , 56 , -   , 240 , 11 , 8 , 209 ,8%,6%,3%,3%,4%, 1.60 ,23%,22.8, 22.7 , 0.9 
FVCB,NASDAQCM:FVCB,"FVCBankcorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 197 ,-19 , -   , 178 , -   , 14 , 184 ,3%,6%,28%,1%,8%, 0.34 ,-11%,, 13.8 , 1.1 
SOI,NYSE:SOI,"Solaris Oilfield Infrastructure, Inc.",Energy,Energy Equipment & Services,"Russell 2000, Russell 3000", 241 ,-53 , 118 , 306 , 49 ,-13 , 323 ,39%,-3%,5%,-8%,-6%, 2.11 ,-17%,6.2,  , 0.7 
LCNB,NASDAQCM:LCNB,LCNB Corp.,Financials,Banks,"Russell 2000, Russell 3000", 187 , 13 , -   , 200 , -   , 19 , 239 ,6%,2%,26%,NM,8%, 0.89 ,7%,, 9.8 , 0.8 
GENC,NASDAQGM:GENC,"Gencor Industries, Inc.",Industrials,Machinery,"Russell 2000, Russell 3000", 169 ,-124 , -   , 45 , 7 , 6 , 161 ,14%,0%,13%,1%,3%, 0.67 ,-274%,6.3, 30.6 , 1.1 
CERC,NASDAQCM:CERC,Cerecor Inc.,Healthcare,Pharmaceuticals,Russell 2000, 223 ,-32 , -   , 191 ,-36 ,-46 , 39 ,87%,NM,-1660%,NM,-190%, 1.72 ,-17%,,  , 5.8 
CYBE,NASDAQGM:CYBE,CyberOptics Corporation,Information Technology,Semiconductors & Semiconductor Equipment,"Russell 2000, Russell 3000", 189 ,-24 , -   , 166 , 8 , 4 , 64 ,13%,12%,7%,24%,7%, 1.31 ,-14%,21.9, 42.6 , 3.0 
MPB,NASDAQGM:MPB,"Mid Penn Bancorp, Inc.",Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000", 204 , 137 , -   , 340 , -   , 22 , 248 ,12%,11%,20%,1%,9%, 0.67 ,40%,, 9.4 , 0.8 
CMRX,NASDAQGM:CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,"Russell 2000, Russell 3000", 314 ,-85 , -   , 229 ,-36 ,-35 , 83 ,-134%,NM,-76%,NM,-36%, 2.01 ,-37%,,  , 3.8 
GCI,NYSE:GCI,"Gannett Co., Inc.",Communication Services,Media,"Russell 2000, Russell 3000, S&P Smallcap 600", 326 ," 1,770 ", 4 ," 2,099 ", 352 ,-643 , 430 ,13%,8%,-3%,NM,-122%, 2.86 ,84%,6.0,  , 0.8 
BRID,NASDAQGM:BRID,Bridgford Foods Corporation,Consumer Staples,Food Products,"Nasdaq Composite, Russell 2000", 170 , 18 , -   , 188 , 10 , 7 , 72 ,7%,3%,4%,3%,9%, 0.06 ,10%,19.6, 25.3 , 2.4 
OSG,NYSE:OSG,"Overseas Shipholding Group, Inc.",Energy,"Oil, Gas & Consumable Fuels","Russell 2000, Russell 3000", 175 , 634 , -   , 809 , 97 , 42 , 374 ,20%,0%,3%,0%,12%, 0.33 ,78%,8.3, 4.2 , 0.5 
PICO,NASDAQGS:PICO,"PICO Holdings, Inc.",Industrials,Commercial Services & Supplies,"Russell 2000, Russell 3000", 165 ,-9 , -   , 155 , 6 , 4 , 170 ,48%,22%,44%,22%,3%, 1.00 ,-6%,28.2, 36.7 , 1.0 
ANH,NYSE:ANH,Anworth Mortgage Asset Corporation,Financials,Mortgage Real Estate Investment Trusts (REITs),"Russell 2000, Russell 3000", 270 ," 1,926 ", -   ," 2,196 ", -   ,-97 , 422 ,5%,5%,42%,NM,-29%, 1.97 ,88%,,  , 0.6 
EGLE,NASDAQGS:EGLE,Eagle Bulk Shipping Inc.,Industrials,Marine,"Russell 2000, Russell 3000", 196 , 427 , -   , 623 , 29 ,-46 , 446 ,42%,12%,5%,NM,-10%, 1.41 ,68%,21.8,  , 0.4 
VERU,NASDAQCM:VERU,Veru Inc.,Consumer Staples,Personal Products,Russell 2000, 651 , 1 , -   , 652 , 0 ,-19 , 30 ,8%,62%,-159%,NM,-61%, 0.31 ,0%,5614.8,  , 21.6 
CVCY,NASDAQCM:CVCY,Central Valley Community Bancorp,Financials,Banks,"Russell 2000, Russell 3000", 187 ,-82 , -   , 105 , -   , 18 , 236 ,10%,2%,21%,NM,8%, 0.78 ,-78%,, 10.5 , 0.8 
SPOK,NASDAQGS:SPOK,"Spok Holdings, Inc.",Communication Services,Wireless Telecommunication Services,"Russell 2000, Russell 3000, S&P Smallcap 600", 205 ,-64 , -   , 141 , 7 ,-7 , 248 ,5%,14%,-2%,NM,-3%, 0.25 ,-46%,19.5,  , 0.8 
VERY,NASDAQCM:VERY,"Vericity, Inc.",Financials,Insurance,Russell 2000, 158 ,-12 , -   , 146 ,-21 ,-21 , 199 ,3%,NM,2%,NM,-8%, -   ,-8%,,  , 0.8 
FCBP,NASDAQCM:FCBP,First Choice Bancorp,Financials,Banks,"Russell 2000, Russell 3000", 198 , 232 , -   , 430 , -   , 24 , 272 ,5%,8%,30%,2%,9%, 0.72 ,54%,, 8.2 , 0.7 
ACRS,NASDAQGS:ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Pharmaceuticals,Nasdaq Composite, 301 ,-39 , -   , 262 ,-50 ,-56 , 41 ,-54%,NM,-793%,NM,-90%, 0.95 ,-15%,,  , 7.4 
BCBP,NASDAQGM:BCBP,"BCB Bancorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 181 , 151 , -   , 333 , -   , 19 , 243 ,3%,1%,16%,NM,8%, 0.59 ,45%,, 9.7 , 0.7 
UEC,AMEX:UEC,Uranium Energy Corp.,Energy,"Oil, Gas & Consumable Fuels","Russell 2000, Russell 3000", 326 , 4 , -   , 331 ,-13 ,-15 , 75 ,57%,NM,76%,NM,-20%, 2.09 ,1%,,  , 4.4 
LFVN,NASDAQCM:LFVN,LifeVantage Corporation,Consumer Staples,Personal Products,"Russell 2000, Russell 3000", 139 ,-3 , -   , 137 , 20 , 12 , 34 ,7%,0%,4%,0%,38%, 1.42 ,-2%,6.9, 11.4 , 4.1 
KVHI,NASDAQGS:KVHI,"KVH Industries, Inc.",Information Technology,Communications Equipment,"Russell 2000, Russell 3000", 195 ,-28 , -   , 167 ,-4 ,-14 , 140 ,10%,NM,4%,NM,-9%, 0.79 ,-17%,,  , 1.4 
ACRX,NASDAQGM:ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Pharmaceuticals,"Nasdaq Composite, Russell 2000, Russell 3000", 122 ,-15 , -   , 106 ,-45 ,-46 ,-58 ,-57%,NM,-63%,NM,NM, 1.28 ,-14%,,  ,  
CHMG,NASDAQGS:CHMG,Chemung Financial Corporation,Financials,Banks,"Russell 2000, Russell 3000", 158 ,-141 , -   , 18 , -   , 18 , 197 ,8%,6%,20%,1%,10%, 0.07 ,-803%,, 8.7 , 0.8 
GTYH,NASDAQCM:GTYH,GTY Technology Holdings Inc.,Information Technology,Software,"Nasdaq Composite, Russell 2000, Russell 3000", 251 , 15 , -   , 265 ,-25 ,-68 , 314 ,1%,NM,-16%,NM,-20%, 0.26 ,5%,,  , 0.8 
CIX,AMEX:CIX,CompX International Inc.,Industrials,Commercial Services & Supplies,"Russell 2000, Russell 3000", 180 ,-65 , -   , 115 , 17 , 11 , 167 ,17%,2%,13%,2%,7%, 0.37 ,-56%,6.9, 15.8 , 1.1 
AXLA,NASDAQGM:AXLA,Axcella Health Inc.,Healthcare,Biotechnology,Russell 2000, 215 ,-92 , -   , 123 ,-54 ,-57 , 89 ,NM,NM,NM,NM,-70%, -   ,-75%,,  , 2.4 
SM,NYSE:SM,SM Energy Company,Energy,"Oil, Gas & Consumable Fuels","Russell 2000, Russell 3000, S&P Smallcap 600", 619 ," 2,380 ", -   ," 2,999 ", 870 ,-701 ," 2,185 ",69%,4%,-1%,NM,-28%, 6.61 ,79%,3.4,  , 0.3 
CRMD,AMEX:CRMD,CorMedix Inc.,Healthcare,Pharmaceuticals,"Russell 2000, Russell 3000", 270 ,-36 , -   , 234 ,-26 ,-21 , 34 ,-1251%,NM,-1084%,NM,-67%, 2.82 ,-15%,,  , 7.8 
UTI,NYSE:UTI,"Universal Technical Institute, Inc.",Consumer Discretionary,Diversified Consumer Services,Russell 2000, 205 , 43 , -   , 249 , 8 , 8 , 177 ,11%,20%,7%,34%,2%, 1.19 ,17%,31.3, 25.6 , 1.2 
PDLB,NASDAQGM:PDLB,PDL Community Bancorp,Financials,Thrifts & Mortgage Finance,"Russell 2000, Russell 3000", 176 , 49 , -   , 225 , -   ,-5 , 158 ,8%,9%,34%,NM,-3%, 0.45 ,22%,,  , 1.1 
SOLY,NASDAQCM:SOLY,"Soliton, Inc.",Healthcare,Healthcare Equipment & Supplies,Russell 2000, 177 ,-35 , -   , 142 ,-13 ,-13 , 35 ,34%,NM,-306%,NM,-64%, -   ,-24%,,  , 5.1 
CHMI,NYSE:CHMI,Cherry Hill Mortgage Investment Corporation,Financials,Mortgage Real Estate Investment Trusts (REITs),"Russell 2000, Russell 3000", 159 ," 1,375 ", 2 ," 1,537 ", -   ,-50 , 322 ,5%,NM,74%,NM,-24%, 1.21 ,89%,,  , 0.5 
ACTG,NASDAQGS:ACTG,Acacia Research Corporation,Industrials,Professional Services,"Russell 2000, Russell 3000", 196 ,-187 , 2 , 11 ,-16 , 34 , 238 ,0%,NM,95%,NM,13%, 0.86 ,-1778%,, 5.8 , 0.8 
CKPT,NASDAQCM:CKPT,"Checkpoint Therapeutics, Inc.",Healthcare,Biotechnology,Russell 2000, 182 ,-42 , -   , 140 , -   ,-22 , 36 ,-341%,NM,-339%,NM,-102%, 1.77 ,-30%,,  , 5.0 
CFRX,NASDAQCM:CFRX,ContraFect Corporation,Healthcare,Biotechnology,Russell 2000, 147 ,-47 , -   , 101 ,-30 ,-32 , 18 ,NM,NM,NM,NM,-284%, 1.09 ,-46%,,  , 8.0 
ITI,NASDAQCM:ITI,"Iteris, Inc.",Information Technology,"Electronic Equipment, Instruments & Components","Russell 2000, Russell 3000", 233 ,-25 , -   , 208 , 1 , 9 , 76 ,11%,NM,9%,NM,-4%, 1.33 ,-12%,399.6, 26.2 , 3.1 
SLDB,NASDAQGS:SLDB,Solid Biosciences Inc.,Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000", 460 ,-19 , -   , 441 ,-94 ,-99 , 22 ,NM,NM,NM,NM,-151%, 0.77 ,-4%,,  , 20.7 
NBN,NASDAQGM:NBN,Northeast Bank,Financials,Banks,"Russell 2000, Russell 3000", 180 ,-166 , -   , 14 , -   , 26 , 173 ,3%,0%,30%,NM,16%, 1.72 ,-1163%,, 7.0 , 1.0 
OIS,NYSE:OIS,"Oil States International, Inc.",Energy,Energy Equipment & Services,"Russell 2000, Russell 3000, S&P Smallcap 600", 294 , 148 , -   , 441 ,-1 ,-625 , 764 ,9%,0%,-4%,NM,-58%, 3.96 ,33%,,  , 0.4 
PVBC,NASDAQCM:PVBC,"Provident Bancorp, Inc.",Financials,Thrifts & Mortgage Finance,"Russell 2000, Russell 3000", 219 , 31 , -   , 250 , -   , 10 , 239 ,9%,16%,27%,7%,5%, 0.96 ,12%,, 21.4 , 0.9 
CWCO,NASDAQGS:CWCO,Consolidated Water Co. Ltd.,Utilities,Water Utilities,"Russell 2000, Russell 3000", 181 ,-36 , 8 , 153 , 15 , 5 , 169 ,23%,3%,12%,4%,5%, 0.30 ,-24%,10.0, 36.4 , 1.1 
TSBK,NASDAQGM:TSBK,"Timberland Bancorp, Inc.",Financials,Thrifts & Mortgage Finance,"Russell 2000, Russell 3000", 204 ,-367 , -   ,-163 , -   , 24 , 188 ,4%,-1%,38%,NM,14%, 1.35 ,226%,, 8.4 , 1.1 
NCMI,NASDAQGS:NCMI,"National CineMedia, Inc.",Communication Services,Media,"Russell 2000, Russell 3000", 289 , 858 , 223 ," 1,369 ", 39 ,-11 ,-210 ,42%,7%,1%,4%,NM, 1.87 ,63%,35.2,  ,  
ORRF,NASDAQCM:ORRF,"Orrstown Financial Services, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 189 , 155 , -   , 345 , -   , 21 , 233 ,5%,-4%,26%,NM,9%, 0.92 ,45%,, 9.2 , 0.8 
WEYS,NASDAQGS:WEYS,"Weyco Group, Inc.",Consumer Discretionary,Distributors,"Russell 2000, Russell 3000", 161 ,-3 , -   , 158 , 13 ,-5 , 189 ,10%,0%,7%,0%,-2%, 0.62 ,-2%,12.5,  , 0.8 
SRGA,NASDAQGS:SRGA,"Surgalign Holdings, Inc.",Healthcare,Healthcare Equipment & Supplies,"Russell 2000, Russell 3000", 212 ,-94 , -   , 118 , 4 ,-131 , 111 ,1%,-3%,-5%,NM,-138%, 2.22 ,-80%,32.6,  , 1.9 
FRBA,NASDAQGM:FRBA,First Bank,Financials,Banks,"Russell 2000, Russell 3000", 187 , 143 , -   , 331 , -   , 18 , 232 ,8%,17%,28%,7%,8%, 0.92 ,43%,, 10.1 , 0.8 
LIVX,NASDAQCM:LIVX,"LiveXLive Media, Inc.",Communication Services,Entertainment,"Russell 2000, Russell 3000", 275 , 2 , -   , 278 ,-20 ,-35 , 13 ,6%,NM,-19%,NM,-402%, 1.43 ,1%,,  , 20.9 
EVC,NYSE:EVC,Entravision Communications Corporation,Communication Services,Media,"Russell 2000, Russell 3000", 227 , 118 , -   , 345 , 42 ,-17 , 258 ,16%,3%,12%,NM,-6%, 0.69 ,34%,8.3,  , 0.9 
STND,NASDAQCM:STND,Standard AVB Financial Corp.,Financials,Thrifts & Mortgage Finance,Russell 2000, 152 , 39 , -   , 191 , -   , 7 , 144 ,7%,-1%,27%,NM,5%, 0.21 ,20%,, 23.1 , 1.1 
NYMX,NASDAQCM:NYMX,Nymox Pharmaceutical Corporation,Healthcare,Biotechnology,Russell 2000, 186 ,-5 , -   , 180 ,-13 ,-12 , 4 ,16%,NM,12%,NM,-261%, 1.52 ,-3%,,  , 48.3 
LYRA,NASDAQGM:LYRA,"Lyra Therapeutics, Inc.",Healthcare,Pharmaceuticals,Russell 2000, 132 ,-79 , -   , 53 ,-19 ,-19 , 81 ,NM,NM,NM,NM,-24%, -   ,-147%,,  , 1.6 
GSIT,NASDAQGS:GSIT,"GSI Technology, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Russell 2000, 170 ,-55 , -   , 115 ,-18 ,-20 , 82 ,3%,NM,-1%,NM,-22%, 0.88 ,-48%,,  , 2.1 
KIN,NASDAQCM:KIN,"Kindred Biosciences, Inc.",Healthcare,Biotechnology,"Russell 2000, Russell 3000", 185 ,-39 , -   , 146 ,-57 ,-27 , 77 ,-53%,NM,-97%,NM,-31%, 1.22 ,-27%,,  , 2.4 
ENOB,NASDAQCM:ENOB,"Enochian Biosciences, Inc.",Healthcare,Biotechnology,Russell 2000, 134 , 2 , -   , 135 ,-12 ,-10 , 164 ,NM,NM,NM,NM,-6%, 0.39 ,1%,,  , 0.8 
TREC,NYSE:TREC,Trecora Resources,Materials,Chemicals,"Russell 2000, Russell 3000", 164 , 13 , 0 , 177 , 22 , 12 , 204 ,14%,3%,4%,NM,-7%, 0.75 ,7%,8.2, 14.1 , 0.8 
GALT,NASDAQCM:GALT,"Galectin Therapeutics, Inc.",Healthcare,Biotechnology,"Russell 2000, Russell 3000", 140 ,-32 , -   , 108 , -   ,-21 , 32 ,NM,NM,NM,NM,-55%, 2.12 ,-30%,,  , 4.5 
FSTR,NASDAQGS:FSTR,L.B. Foster Company,Industrials,Machinery,"Russell 2000, Russell 3000", 154 , 58 , -   , 212 , 29 , 32 , 173 ,6%,-1%,2%,-13%,31%, 1.20 ,27%,7.2, 4.8 , 0.9 
MMAC,NASDAQCM:MMAC,"MMA Capital Holdings, Inc.",Financials,Thrifts & Mortgage Finance,"Russell 2000, Russell 3000", 140 , 219 , -   , 359 , -   , 66 , 278 ,20%,-10%,27%,-13%,26%, 0.62 ,61%,, 2.1 , 0.5 
AVEO,NASDAQCM:AVEO,"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,Russell 2000, 165 ,-54 , -   , 110 , -   ,-29 , 40 ,21%,NM,-72%,2%,-97%, 1.38 ,-49%,,  , 4.1 
PWOD,NASDAQGS:PWOD,"Penns Woods Bancorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 182 ,-55 , 0 , 127 , -   , 14 , 162 ,4%,2%,26%,NM,9%, 0.70 ,-43%,, 12.9 , 1.1 
UNTY,NASDAQGM:UNTY,"Unity Bancorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 174 , 51 , -   , 225 , -   , 22 , 169 ,5%,12%,30%,2%,14%, 1.38 ,23%,, 7.7 , 1.0 
CATO,NYSE:CATO,The Cato Corporation,Consumer Discretionary,Specialty Retail,"Russell 2000, Russell 3000, S&P Smallcap 600", 176 , 41 , -   , 217 ,-51 ,-42 , 256 ,5%,-1%,3%,-2%,-14%, 0.90 ,19%,,  , 0.7 
RMBI,NASDAQCM:RMBI,"Richmond Mutual Bancorporation, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 170 , 159 , -   , 329 , -   ,-5 , 192 ,4%,3%,-48%,NM,-3%, -   ,48%,,  , 0.9 
PKBK,NASDAQCM:PKBK,"Parke Bancorp, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 184 ,-169 , 2 , 16 , -   , 28 , 194 ,4%,24%,62%,6%,15%, 0.97 ,-1029%,, 6.6 , 0.9 
WNEB,NASDAQGS:WNEB,"Western New England Bancorp, Inc.",Financials,Thrifts & Mortgage Finance,"Russell 2000, Russell 3000", 166 ,-11 , -   , 156 , -   , 10 , 230 ,4%,4%,16%,0%,4%, 0.32 ,-7%,, 17.3 , 0.7 
FVE,NASDAQCM:FVE,Five Star Senior Living Inc.,Healthcare,Healthcare Providers & Services,Russell 2000, 231 ,-73 , -   , 158 , 33 , 6 , 208 ,2%,38%,1%,NM,4%, 1.08 ,-46%,4.8, 41.2 , 1.1 
ISTR,NASDAQGM:ISTR,Investar Holding Corporation,Financials,Banks,"Nasdaq Composite, Russell 2000, Russell 3000", 178 , 191 , -   , 369 , -   , 13 , 237 ,7%,6%,19%,0%,6%, 0.74 ,52%,, 14.0 , 0.7 
GLYC,NASDAQGM:GLYC,"GlycoMimetics, Inc.",Healthcare,Biotechnology,"Nasdaq Composite, Russell 2000, Russell 3000", 196 ,-140 , -   , 56 ,-51 ,-50 , 138 ,5%,NM,-630%,NM,-33%, 2.50 ,-249%,,  , 1.4 
FBIZ,NASDAQGS:FBIZ,"First Business Financial Services, Inc.",Financials,Banks,"Russell 2000, Russell 3000", 156 , 478 , -   , 633 , -   , 17 , 201 ,5%,8%,17%,-1%,8%, 1.08 ,75%,, 9.4 , 0.8 
PCB,NASDAQGS:PCB,PCB Bancorp,Financials,Banks,"Russell 2000, Russell 3000", 157 ,-119 , -   , 38 , -   , 15 , 229 ,6%,3%,20%,-3%,6%, 0.79 ,-315%,, 10.8 , 0.7 
VNRX,AMEX:VNRX,VolitionRx Limited,Healthcare,Healthcare Equipment & Supplies,Russell 2000, 189 ,-17 ,-0 , 172 ,-19 ,-19 , 19 ,-28814%,NM,-33175%,NM,-102%, 1.87 ,-10%,,  , 10.0 
GHM,NYSE:GHM,Graham Corporation,Industrials,Machinery,"Russell 2000, Russell 3000", 145 ,-68 , -   , 77 , 3 , 2 , 97 ,8%,12%,6%,16%,2%, 0.87 ,-88%,23.0, 95.9 , 1.5 
